SMILES,pIC50
FC(F)(F)c1cccc(c1)C(=O)Nc1nnc(o1)-c1ccc2OCCOc2c1,4.494850021680094
FC(F)(F)c1cccc(c1)C(=O)Nc1nnc(o1)C1CCCCC1,4.481486060122113
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccccc1,4.444905551421681
Cc1ccc(cc1C)C(=O)Nc1nnc(o1)C1CCCCC1,4.356547323513812
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccc(OC)cc1,4.221848749616356
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccccc1CC,4.221848749616356
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccc(C)cc1,4.221848749616356
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1cccc(C)c1F,4.221848749616356
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)Cc1cccc(C)c1,4.221848749616356
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccc(O)cc1,4.221848749616356
COc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,3.9281179926938745
