SMILES,pIC50,name
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1cccc(C)c1,5.568636236,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccccn1,5.552841969,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1cc(C)ccc1F,5.468521083,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)Cc1ccccc1F,5.468521083,ADCY8
CCc1cccc(c1)C(=O)Nc1cc(C)nn1-c1nc(CC)cc(=O)[nH]1,5.455931956,ADCY8
Clc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,5.443697499,ADCY8
Cc1cc(cc(c1)C(F)(F)F)C(=O)Nc1nnc(o1)-c1ccc(F)cc1,5.387216143,ADCY8
Fc1cccc(c1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,5.37675071,ADCY8
CCOc1cccc(c1)C(=O)Nc1cc(C)nn1-c1nc(CC)cc(=O)[nH]1,5.356547324,ADCY8
COc1cccc(c1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,5.27572413,ADCY8
COc1ccc(cc1)-c1nnc(NC(=O)c2cc(nc3ccccc23)-c2cccs2)o1,5.251811973,ADCY8
CCc1ccc(cc1)C(=O)Nc1cc(C)nn1-c1nc(CC)cc(=O)[nH]1,5.180456064,ADCY8
Cc1ccc(cc1C(F)(F)F)C(=O)Nc1nnc(o1)C1CCCCC1,5.15490196,ADCY8
Fc1ccc(cc1)-c1nnc(NC(=O)c2cccc(c2)-c2ccccc2)o1,5.15490196,ADCY8
Fc1ccc(cc1)-c1nnc(NC(=O)c2ccc(cc2)-c2ccccc2)o1,5.124938737,ADCY8
FC(F)(F)c1cccc(c1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,5.102372909,ADCY8
Cc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,5.102372909,ADCY8
COc1cc(cc(c1)C(F)(F)F)C(=O)Nc1nnc(o1)C1CCCCC1,5.045757491,ADCY8
Cc1ccc(cc1C(F)(F)F)C(=O)Nc1nnc(o1)-c1ccc(F)cc1,5.045757491,ADCY8
CSc1cccc(c1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,5.026872146,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1cccc(OC)c1,5.017728767,ADCY8
COc1cc(cc(c1)C(F)(F)F)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,5,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(C)=O,4.974694135,ADCY8
O=C(Nc1nnc(o1)-c1ccc2CCCCc2c1)c1ccccc1,4.958607315,ADCY8
CCOc1cccc2cc(oc12)-c1nnc(NC(=O)c2ccccc2SC)o1,4.958607315,ADCY8
CC(C)Oc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,4.958607315,ADCY8
Cc1ccc(cc1C(F)(F)F)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,4.886056648,ADCY8
Cc1ccc(cc1C)C(=O)Nc1nnc(o1)-c1ccc2OCCOc2c1,4.853871964,ADCY8
Cc1cc(cc(c1)C(F)(F)F)C(=O)Nc1nnc(o1)C1CCCCC1,4.823908741,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccccc1C,4.804100348,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccco1,4.804100348,ADCY8
Brc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,4.721246399,ADCY8
Fc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,4.657577319,ADCY8
Brc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2OCCOc2c1,4.638272164,ADCY8
Brc1ccc(cc1)C(=O)Nc1nnc(o1)C1CCCCC1,4.602059991,ADCY8
Fc1ccc(cc1)-c1nnc(NC(=O)c2cccc(c2)C(F)(F)F)o1,4.537602002,ADCY8
COc1cc(cc(c1)C(F)(F)F)C(=O)Nc1nnc(o1)-c1ccc(F)cc1,4.537602002,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccc(OCOC)cc1,4.522878745,ADCY8
FC(F)(F)c1cccc(c1)C(=O)Nc1nnc(o1)-c1ccc2OCCOc2c1,4.494850022,ADCY8
FC(F)(F)c1cccc(c1)C(=O)Nc1nnc(o1)C1CCCCC1,4.48148606,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccccc1,4.444905551,ADCY8
Cc1ccc(cc1C)C(=O)Nc1nnc(o1)C1CCCCC1,4.356547324,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccc(OC)cc1,4.22184875,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccccc1CC,4.22184875,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccc(C)cc1,4.22184875,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1cccc(C)c1F,4.22184875,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)Cc1cccc(C)c1,4.22184875,ADCY8
CCc1cc(=O)[nH]c(n1)-n1nc(C)cc1NC(=O)c1ccc(O)cc1,4.22184875,ADCY8
COc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccc2CCCCc2c1,3.928117993,ADCY8
COc1cc(CCCc2cc(C(=CCc3ccc(O)c(OC)c3)c3cc(O)c(OC)cc3O)c(OC)cc2O)ccc1O,4.665546249,DDC
COc1cc(CC=C(c2cc(O)c(OC)cc2O)c2c(OC)cc3OC(CCc3c2O)c2ccc(O)c(OC)c2)ccc1O,4.301029996,DDC
COc1cc(CCCc2cc(C(CCc3ccc(O)c(OC)c3)c3cc(OC)c(OC)cc3O)c(O)cc2OC)ccc1O,4,DDC
COc1cc(CCCc2cc(C(CCc3ccc(O)c(OC)c3)c3cc(OC)c(OC)cc3O)c(OC)cc2O)ccc1O,4,DDC
COc1cc(CC=C(c2cc(O)c(OC)cc2O)c2c(OC)cc3OC(CCc3c2O)c2ccc(O)c(O)c2)ccc1O,4,DDC
COc1cc(CC=C(c2cc(O)c(OC)cc2O)c2c(OC)cc3OC(CCc3c2O)c2ccc(O)c(O)c2)ccc1O,4,DDC
COc1ccc(CCCc2ccc(O)c(OC)c2)c(O)c1,3.698970004,DDC
COc1ccc2CC[C@@H](Oc2c1)c1ccc(O)c(O)c1,3.698970004,DDC
COc1cc(CCCc2ccc(O)cc2OC)ccc1O,3.698970004,DDC
COc1cc(CCCc2ccc(OC)c(O)c2OC)ccc1O,3.698970004,DDC
COc1cc(OC)c2CC[C@@H](Oc2c1)c1ccc(O)c(O)c1,3.698970004,DDC
COc1ccc(C(CCc2ccc(O)c(OC)c2)c2cc(CCCc3ccc(O)c(OC)c3)c(O)cc2OC)c(O)c1,3.698970004,DDC
COc1cc(CCCc2cc(C(CCc3ccc(O)c(OC)c3)c3cc(O)c(OC)cc3OC)c(O)cc2OC)ccc1O,3.698970004,DDC
C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O,2.920818754,DDC
CO[C@@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)[C@H]1OC2(C[C@@H](O)[C@H](C)C(C\C=C\C#N)O2)C(C)(C)[C@H]1OP(O)(O)=O,9,PPP2R5C
CN[C@@H](COC)C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1,9,PPP2R5C
CO[C@@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)[C@H]1OC2(C[C@@H](O)[C@H](C)C(C\C=C\c3coc(n3)C(C)CCNC(=O)CO)O2)C(C)(C)[C@H]1OP(O)(O)=O,8.958607315,PPP2R5C
COC[C@@H](C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C(N)=O)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,8.823908741,PPP2R5C
COC[C@@H](C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](OC(C)=O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,8.677780705,PPP2R5C
COC[C@@H](C(O)[C@H](O)C(=O)NC(C)CC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,8.585026652,PPP2R5C
COC[C@@H](C(O)[C@H](O)C(=O)NCCC(C)c1nc(\C=C\CC2OC3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)C(C)[C@H](O)C(C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C\C#N)OC)[C@H](OP(O)(O)=O)C3(C)C)co1)N(C)C,7.853871964,PPP2R5C
